timestamp,reported_temp,actual_temp,event,cpu_usage,relative_time
1746769988.9821122,22.64,21.31,Normal Operation,0,0.0
1746769994.0257041,21.73,22.11,Normal Operation,0,5.0435919761657715
1746769999.2983465,22.17,22.92,Normal Operation,0,10.316234350204468
1746770004.3507123,23.05,22.84,Normal Operation,0,15.368600130081177
1746770009.4847736,22.55,22.11,Normal Operation,0,20.50266146659851
1746770014.5330262,21.4,21.53,Normal Operation,0,25.55091404914856
1746770019.603058,22.82,22.35,Heatwave,0,30.620945930480957
1746770024.8143208,32.66,32.50110279992491,Heatwave,0,35.83220863342285
1746770029.982743,34.7,34.563247765506254,Heatwave,0,41.0006308555603
1746770035.0286307,41.07,41.25536813631159,Heatwave,0,46.04651856422424
1746770040.0946648,35.12,34.85815588186425,Heatwave,0,51.112552642822266
1746770045.1485488,41.95,41.70020813892016,Heatwave,0,56.16643667221069
1746770050.6882179,24.51,42.39899856135002,Attack Active,0,61.70610570907593
1746770055.7818635,24.51,38.80520206842833,Attack Active,0,66.79975128173828
1746770060.8279161,24.51,33.432440015605216,Attack Active,0,71.84580397605896
1746770065.8893917,24.51,35.54681258282235,Attack Active,0,76.90727949142456
1746770071.0864515,24.51,37.76287012336066,Attack Active,0,82.1043393611908
1746770076.420196,24.51,41.872700707987725,Attack Active,0,87.43808388710022
1746770081.5120022,24.51,39.68967402955381,Attack Active,0,92.5298900604248
1746770086.6995938,24.51,22.47,Attack Active,0,97.71748161315918
1746770091.7486024,24.51,21.93,Attack Active,0,102.76649022102356
1746770096.8634462,24.51,11.34,Attack Active,0,107.88133406639099
1746770101.940472,24.51,21.61,Attack Active,0,112.95835971832275
1746770106.982337,24.51,22.01,Attack Active,0,118.00022482872009
