timestamp,reported_temp,actual_temp,event,cpu_usage,relative_time
1746771311.8120272,23.31,22.95,Normal Operation,0,0.0
1746771316.9082043,23.86,23.56,Normal Operation,0,5.096177101135254
1746771321.9808662,23.34,23.08,Normal Operation,0,10.16883897781372
1746771327.0267084,23.65,23.82,Normal Operation,0,15.214681148529053
1746771332.0821438,23.66,24.1,Normal Operation,0,20.270116567611694
1746771337.149471,23.81,23.52,Normal Operation,0,25.337443828582764
1746771342.326759,23.75,23.46,Heatwave,0,30.514731884002686
1746771347.4065278,42.73,42.87523567130094,Heatwave,0,35.59450054168701
1746771352.4533155,39.75,39.62479050338497,Heatwave,0,40.64128828048706
1746771357.5097132,38.99,39.03390876364947,Heatwave,0,45.697685956954956
1746771363.0557394,41.79,41.41590713863492,Heatwave,0,51.243712186813354
1746771368.2104857,33.16,33.28564568143745,Heatwave,0,56.39845848083496
1746771373.3328836,24.52,36.58642272987043,Attack Active,0,61.52085638046265
1746771378.5621266,24.52,36.04581968505994,Attack Active,0,66.75009942054749
1746771383.609906,24.52,36.72746383286666,Attack Active,0,71.79787874221802
1746771388.7560327,24.52,39.07556463917922,Attack Active,0,76.94400548934937
1746771393.8061664,24.52,37.738529995090474,Attack Active,0,81.99413919448853
1746771398.8613725,24.52,36.829566447143506,Attack Active,0,87.04934525489807
1746771403.910076,24.52,22.37,Attack Active,0,92.0980486869812
1746771409.0010822,24.52,23.28,Attack Active,0,97.1890549659729
1746771414.0883594,24.52,22.4,Attack Active,0,102.27633213996887
1746771419.183854,24.52,22.73,Attack Active,0,107.37182688713074
1746771424.2316942,24.52,22.09,Attack Active,0,112.41966700553894
1746771429.2769148,24.52,22.76,Attack Active,0,117.46488761901855
