timestamp,reported_temp,actual_temp,event,cpu_usage,relative_time
1746732684.7336428,24.49,24.75,Normal Operation,0,0.0
1746732689.7861083,25.09,25.08,Normal Operation,0,5.052465438842773
1746732694.8895445,25.21,23.9,Normal Operation,0,10.155901670455933
1746732700.4362175,23.78,24.58,Normal Operation,0,15.702574729919434
1746732705.5961282,24.62,24.52,Normal Operation,0,20.86248540878296
1746732710.668959,24.35,24.27,Normal Operation,0,25.93531608581543
1746732715.82335,23.82,25.52,Heatwave,0,31.089707136154175
1746732720.934208,25.81,24.79,Heatwave,0,36.20056509971619
1746732725.9892585,24.98,24.26,Heatwave,0,41.25561571121216
1746732731.0404208,23.79,25.87,Heatwave,0,46.30677795410156
1746732736.11836,25.87,24.5,Heatwave,0,51.38471722602844
1746732741.1761813,24.86,25.14,Heatwave,0,56.44253849983215
1746732746.7666552,25.46,25.43,Attack Active,0,62.03301239013672
1746732752.209434,25.46,25.32,Attack Active,0,67.4757912158966
1746732757.4489024,25.46,25.79,Attack Active,0,72.71525955200195
1746732763.2967536,25.46,23.83,Attack Active,0,78.56311082839966
1746732768.532125,25.46,24.98,Attack Active,0,83.79848217964172
1746732773.6826017,25.46,24.83,Attack Active,0,88.94895887374878
1746732778.9998329,25.46,30.44,Attack Active,0,94.26619005203247
1746732784.1591165,25.46,24.72,Attack Active,0,99.42547369003296
1746732789.2871377,25.46,23.72,Attack Active,0,104.55349493026733
1746732794.3777552,25.46,24.9,Attack Active,0,109.64411234855652
1746732799.4229927,25.46,24.59,Attack Active,0,114.68934988975525
1746732804.4849062,25.46,24.45,Attack Active,0,119.75126338005066
