vulnerability_type,fault_type,phase,avg_cpu,max_cpu,avg_memory,max_memory,avg_temp_deviation,max_temp_deviation,avg_latency_ms,max_latency_ms,avg_reporting_interval,interval_stability,network_egress_rate,measurements
ddos,none,baseline,1.175,6.0,31.337500000000006,33.64,0.5039524018423898,1.6899999999999977,6079.9802407417055,10000.0,2.0001100119897877,2.6265446017624537e-05,,60
ddos,none,event,2.3233333333333333,22.0,31.41005555555556,33.64,0.5652539717659119,1.8800000000000026,6079.980240038352,10000.0,2.0001132809713984,2.675085460130495e-05,,90
ddos,none,recovery,0.7833333333333333,6.0,31.448388888888893,33.77,0.7405872761559867,11.17,6079.980240038352,10000.0,2.0001132809713984,2.675085460130495e-05,,90
ddos,stuck,baseline,1.0583333333333333,4.0,31.495000000000005,33.77,0.7297618993123375,2.4400000000000013,6079.980230594974,10000.0,2.0001248949665134,2.7168022553567183e-05,,60
ddos,stuck,event,2.3141666666666665,22.0,31.517388888888895,33.77,0.7470476071796722,6.300000000000001,6079.980229939007,10000.0,2.000126343094901,2.7909719068959612e-05,,90
ddos,stuck,recovery,1.5944444444444443,6.0,31.527500000000003,33.77,0.5318412673586891,5.559999999999999,6079.980229939007,10000.0,2.000126343094901,2.7909719068959612e-05,,90
ddos,drift,baseline,0.7916666666666666,4.0,31.5275,33.77,0.7594523851303828,6.09,6079.980218940914,10000.0,2.000106205374508,2.809214601265922e-05,,60
ddos,drift,event,2.3744444444444444,22.0,31.552500000000002,33.89,1.8888095341031514,13.559999999999999,6079.980219217159,10000.0,2.0001067418730663,2.7649397576082047e-05,,90
ddos,drift,recovery,1.411111111111111,6.0,31.557500000000005,33.89,3.344349199325319,19.13,6079.980219217159,10000.0,2.0001067418730663,2.7649397576082047e-05,,90
ddos,spike,baseline,1.4416666666666667,6.0,31.5575,33.89,25.646238087790355,229.71,6079.980221220201,10000.0,2.000118546566721,2.9189462870899044e-05,,60
ddos,spike,event,2.451388888888889,22.0,31.557500000000005,33.89,25.300857171194895,230.0,6079.980220295113,10000.0,2.0001144569911316,2.935308082774188e-05,,90
ddos,spike,recovery,1.1444444444444446,8.0,31.557500000000005,33.89,29.00882539089142,231.61,6079.980220295113,10000.0,2.0001144569911316,2.935308082774188e-05,,90
ddos,dropout,baseline,1.2416666666666667,6.0,31.5575,33.89,0.4518571535746255,1.949999542236327,6079.98020150682,10000.0,2.00010658926883,2.3798818768574646e-05,,60
ddos,dropout,event,2.3358333333333334,22.0,31.557500000000005,33.89,0.6236349065871465,2.0699992370605464,6079.9802007433855,10000.0,2.0001065972146024,2.5773604300067386e-05,,90
ddos,dropout,recovery,1.4666666666666666,6.0,31.557500000000005,33.89,0.6215396793910433,9.629999999999999,6079.9802007433855,10000.0,2.0001065972146024,2.5773604300067386e-05,,90
