vulnerability_type,fault_type,phase,avg_cpu,max_cpu,avg_memory,max_memory,avg_temp_deviation,max_temp_deviation,avg_latency_ms,max_latency_ms,avg_reporting_interval,interval_stability,network_egress_rate,measurements
command_injection,none,baseline,0.6666666666666667,4.0,32.69083333333334,32.98,0.36000002252487917,1.3599999999999994,6080.00429522611,10000.0,2.000124522617885,3.053680764078581e-05,,15
command_injection,none,install,0.9583333333333334,6.0,32.73,32.98,0.4126904981703984,8.96,6080.004253028982,10000.0,2.0001208539736473,2.787643863984478e-05,,60
command_injection,none,shell,0.9500000000000001,6.0,32.730000000000004,32.98,0.6290317230224609,11.170000000000002,6080.004156299016,10000.0,2.000124363417036,2.556231792455717e-05,,90
command_injection,none,recovery,1.5833333333333333,4.0,32.73,32.98,0.6128095299857003,11.489999999999998,6080.004099319514,10000.0,2.000132100335483,2.71007180273814e-05,,30
command_injection,stuck,baseline,0.7999999999999999,4.0,32.6945,32.98,0.43009527224586097,1.5700000000000003,6080.004106414223,10000.0,2.0001029797962735,2.76463902536995e-05,,15
command_injection,stuck,install,1.3833333333333333,6.0,32.75170833333333,33.01,0.7418809663681752,12.489999999999998,6080.00405939873,10000.0,2.0000931933774786,1.3114218839698778e-05,,60
command_injection,stuck,shell,1.5111111111111113,6.0,32.785,33.01,0.7605872945634141,4.880000000000003,6080.003985156564,10000.0,2.0001253974571656,2.4522481246832495e-05,,90
command_injection,stuck,recovery,0.8166666666666667,6.0,32.785,33.01,0.4068571577526271,1.1700000000000017,6080.003923648465,10000.0,2.0001116785509834,2.9070798544452406e-05,,30
command_injection,drift,baseline,1.8666666666666667,6.0,32.6525,32.98,1.0875238058907646,10.719999999999999,6080.003848622611,10000.0,2.0001337017331804,2.2054450185021357e-05,,15
command_injection,drift,install,1.1916666666666667,6.0,32.652499999999996,32.98,1.3202142964317685,8.950000000000003,6080.00381396087,10000.0,2.0001211166381836,2.8181305562260414e-05,,60
command_injection,drift,shell,1.0555555555555556,4.0,32.67922222222222,32.98,2.601968219454327,17.57,6080.003734400096,10000.0,2.0001097877373857,2.7913570775830698e-05,,90
command_injection,drift,recovery,0.8333333333333334,4.0,32.685,32.98,3.0385713737124496,24.89,6080.003661349097,10000.0,2.0001167428904565,3.052485894813374e-05,,30
command_injection,spike,baseline,1.5666666666666667,6.0,32.6785,32.98,21.879809547787627,229.76000000000002,6080.003592045534,10000.0,2.0001294783183505,1.9957442417838176e-05,,15
command_injection,spike,install,1.775,6.0,32.71579166666667,32.98,21.35242860685076,228.44,6080.003553431834,10000.0,2.000122167296329,3.185210675429771e-05,,60
command_injection,spike,shell,1.4491666666666665,6.0,32.75266666666666,32.98,35.11984127638075,231.0,6080.003465212081,10000.0,2.000122453389543,2.5272988315834263e-05,,90
command_injection,spike,recovery,1.4166666666666665,6.0,32.754999999999995,32.98,27.714714271545404,231.45999999999998,6080.003412594234,10000.0,2.0001185515831255,2.685441237126541e-05,,30
command_injection,dropout,baseline,1.1,4.0,32.685,32.98,0.7001905008951825,2.3000000000000007,6080.003335392711,10000.0,2.000118238585336,2.945987961475779e-05,,15
command_injection,dropout,install,1.4166666666666667,6.0,32.685,32.98,1.0492380989619665,10.120000000000001,6080.003298779232,10000.0,2.00012838638435,2.709538678914958e-05,,60
command_injection,dropout,shell,1.4944444444444445,6.0,32.69866666666667,32.98,0.7504127122182697,12.05,6080.003226376472,10000.0,2.000129271089361,4.4997973959100744e-05,,90
command_injection,dropout,recovery,0.6166666666666666,4.0,32.715,32.98,0.6013333151681085,4.350000000000001,6080.003152902023,10000.0,2.000109919186296,3.136254332402389e-05,,30
