fault_type,install_cpu_percent,install_memory_percent,install_temp_dev_percent,shell_cpu_percent,shell_memory_percent,shell_temp_dev_percent,shell_vs_install_cpu
none,43.75,0.11980932473423245,14.6362423190898,42.50000000000001,0.11980932473425465,74.7310232401414,-0.8695652173912993
stuck,72.91666666666667,0.17497846222862545,72.49223933437803,88.88888888888893,0.2768049671963091,76.84158456143868,9.236947791164685
drift,-36.16071428571429,-2.220446049250313e-14,21.396358339982523,-43.452380952380956,0.08183821214982068,139.2562080351995,-11.421911421911425
spike,13.29787234042552,0.11411682502766585,-2.4103543487662193,-7.500000000000007,0.2269586017309866,60.51255473533994,-18.356807511737095
dropout,28.787878787878785,0.0,49.850376093439166,35.858585858585855,0.041813268063828346,7.172649623049554,5.490196078431375
