vulnerability_type,fault_type,phase,avg_cpu,max_cpu,avg_memory,max_memory,avg_temp_deviation,max_temp_deviation,avg_latency_ms,max_latency_ms,avg_reporting_interval,interval_stability,network_egress_rate,measurements
bola,none,baseline,1.0614583333333332,4.0,32.087500000000006,33.27,0.38767858596075155,1.5700000000000003,6079.97971182391,10000.0,5.000095222307288,2.4982598333365207e-05,,24
bola,none,event,1.3055555555555556,6.0,32.0875,33.27,0.6318650563557943,12.010000000000002,6079.979712702373,10000.0,5.000102588108608,2.523631870824511e-05,,36
bola,none,recovery,1.0416666666666665,4.0,32.087500000000006,33.27,0.40976192928495875,1.6600000000000001,6079.97971182391,10000.0,5.000095222307288,2.4982598333365207e-05,,24
bola,stuck,baseline,1.4375,6.0,32.087500000000006,33.27,0.5733333233424595,2.3000000000000007,6079.979704105125,10000.0,5.000115581180738,3.6496732870067046e-05,,24
bola,stuck,event,1.2638888888888888,6.0,32.0875,33.27,0.8884126802474736,3.210000000000001,6079.979705339042,10000.0,5.000109795161656,4.0616304598023506e-05,,36
bola,stuck,recovery,0.9791666666666667,4.0,32.11322916666667,33.27,0.8485118915921167,3.25,6079.979704105125,10000.0,5.000115581180738,3.6496732870067046e-05,,24
bola,drift,baseline,1.3125,4.0,32.120000000000005,33.27,1.171369053068615,14.059999999999999,6079.979700629799,10000.0,5.0001104603643,4.195273082087616e-05,,24
bola,drift,event,1.1381944444444443,6.0,32.120000000000005,33.27,2.866111113835895,13.869999999999997,6079.979700425848,10000.0,5.00011008807591,3.61859074560618e-05,,36
bola,drift,recovery,1.2708333333333335,6.0,32.128750000000004,33.39,3.5839285859607517,18.0,6079.979700629799,10000.0,5.0001104603643,4.195273082087616e-05,,24
bola,spike,baseline,1.0416666666666665,6.0,32.18,33.39,34.47089285396394,231.10000000000002,6079.979699819291,10000.0,5.000096725380939,2.5540652853905186e-05,,24
bola,spike,event,1.3888888888888888,6.0,32.18,33.39,31.39575396613469,231.47,6079.979700463356,10000.0,5.00010860988072,2.455971524067779e-05,,36
bola,spike,recovery,1.0833333333333333,4.0,32.18,33.39,23.407380946931386,230.44,6079.979699819291,10000.0,5.000096725380939,2.5540652853905186e-05,,24
bola,dropout,baseline,0.8125,4.0,32.18,33.39,0.7217261782146636,7.860000000000003,6079.979691990183,10000.0,5.0000975131988525,2.406493590325445e-05,,24
bola,dropout,event,1.3194444444444444,6.0,32.23298611111111,33.61,0.6308333402966697,2.8200000000000003,6079.979692639113,10000.0,5.000099543162754,2.3955854672129808e-05,,36
bola,dropout,recovery,1.0416666666666667,4.0,32.2425,33.61,0.6910714471907846,5.59,6079.979691990183,10000.0,5.0000975131988525,2.406493590325445e-05,,24
