vulnerability_type,fault_type,phase,avg_cpu,max_cpu,avg_memory,max_memory,avg_temp_deviation,max_temp_deviation,avg_latency_ms,max_latency_ms,avg_reporting_interval,interval_stability,network_egress_rate,measurements
resource_exhaustion,none,baseline,0.6500000000000001,4.0,32.935,33.73,0.5879285788763138,8.789999923706056,6080.006206459053,10000.0,2.0000979617490606,1.6539829041847866e-05,,60
resource_exhaustion,none,event,1.6888333333333332,23.3,30.628999999999994,43.73,0.6366666558401927,12.909999999999998,6080.006193160563,10000.0,2.000107453173439,2.2571487450101138e-05,,150
resource_exhaustion,none,recovery,1.2333333333333334,6.0,30.62,32.98,0.4250833344232469,1.9600000000000009,6080.00617518269,10000.0,2.000107969556536,2.161116556603269e-05,,120
resource_exhaustion,stuck,baseline,1.255,6.0,30.589541666666662,32.98,0.5356190269106909,7.830000000000002,6080.010368754972,10000.0,2.0001284227532854,2.7604273591795634e-05,,60
resource_exhaustion,stuck,event,1.3121666666666667,25.3,34.90254999999999,47.22,1.0030761863345192,13.350000000000001,6080.010361335993,10000.0,2.0001241568750983,2.6796663850921478e-05,,150
resource_exhaustion,stuck,recovery,1.2791666666666666,6.0,36.337500000000006,47.22,0.8405476446605864,11.38,6080.010344074582,10000.0,2.0001294833271444,2.5520553191503455e-05,,120
resource_exhaustion,drift,baseline,1.0416666666666665,6.0,36.33749999999999,47.22,1.0311428544180734,6.6199994659423815,6080.01444904026,10000.0,2.0001273640131547,2.6434331587073982e-05,,60
resource_exhaustion,drift,event,1.6141666666666667,20.8,34.475449999999995,50.35,2.8628476170857744,14.139999999999997,6080.014435660814,10000.0,2.0001198029358114,2.7453396065377814e-05,,150
resource_exhaustion,drift,recovery,1.1083333333333334,6.0,35.307500000000005,43.1,5.339773799532936,25.959999999999997,6080.014417951718,10000.0,2.000119529852346,2.7261386627385847e-05,,120
resource_exhaustion,spike,baseline,1.1666666666666667,4.0,35.3075,43.1,31.214333345776513,230.83999999999997,6080.019599753934,10000.0,2.000124034235033,3.004416444133011e-05,,60
resource_exhaustion,spike,event,1.572,21.8,34.39946666666666,43.22,33.31399047582717,229.12,6080.019573215734,10000.0,2.0001189004654853,2.9579796090728125e-05,,150
resource_exhaustion,spike,recovery,1.1875,6.0,35.337500000000006,43.22,27.217714292162945,230.74,6080.019558582582,10000.0,2.0001162881610774,2.858606322314675e-05,,120
resource_exhaustion,dropout,baseline,2.1399999999999997,8.0,35.33749999999999,43.22,0.5447857117425828,1.9199999999999982,6080.023468070762,10000.0,2.0001239170462397,2.2127088094200713e-05,,60
resource_exhaustion,dropout,event,1.7595,23.5,34.83326666666666,43.22,0.8183428548903693,3.8099999999999987,6080.023441425433,10000.0,2.0001198445390536,2.6877574056774786e-05,,150
resource_exhaustion,dropout,recovery,0.9333333333333333,4.0,35.337500000000006,43.22,0.8545000126248313,9.41,6080.023416369187,10000.0,2.0001177246831046,2.7586269687101345e-05,,120
