fault_type,avg_temp,temp_std,avg_deviation,max_deviation,avg_zscore,max_zscore,avg_reporting_interval,avg_latency_ms,measurements
none,33.9205784801449,14.993532578257325,37.70334285234724,236.7,0.9424319892651829,1.7888543620696755,2.000114330509365,6080.007020091241,150
stuck,,,25.286580954124815,227.67,,,2.0001155482042554,6080.0068315106655,150
drift,29.07072973326878,16.012755962596493,25.421266674659368,229.84,0.9696904199597508,1.788854066342668,2.0001178347824404,6080.006577491589,150
spike,51.69428622131773,31.423614069460115,55.78546666862852,230.62,0.9450388455616653,1.7888543820059921,2.0001170347200943,6080.006380299233,150
dropout,,,26.25641904296874,229.57,,,2.0001189452689765,6080.006125044086,150
